t,return,pf_loss
1,-0.26,-26
2,-0.23,-23
3,0.03,3
4,0,0
5,0.68,68
6,0.15,15
7,0.25,25
8,0.57,57
9,0.84,84
10,0.46,46
11,-0.32,-32
12,0.92,92
13,-1.02,-102
14,1.08,108
15,0.01,1
16,0.27,27
17,-0.1,-10
18,0.1,10
19,0.46,46
20,-0.61,-61
21,-0.57,-57
22,-0.28,-28
23,0.41,41
24,0.61,61
25,0.18,18
26,-0.34,-34
27,0.2,20
28,0.97,97
29,0.54,54
30,0.19,19
31,-0.53,-53
32,-0.25,-25
33,0.25,25
34,0.32,32
35,0.03,3
36,0.68,68
37,-0.49,-49
38,-0.38,-38
39,0.21,21
40,0.62,62
41,0.21,21
42,-0.36,-36
43,0.74,74
44,-0.37,-37
45,0.33,33
46,0.21,21
47,-0.45,-45
48,-0.56,-56
49,0.14,14
50,0.68,68
51,0.82,82
52,1.14,114
53,0.7,70
54,0.34,34
55,0.05,5
56,0.51,51
57,-0.85,-85
58,0.12,12
59,0.43,43
60,-0.28,-28
61,0.15,15
62,0.78,78
63,0.75,75
64,0.19,19
65,0.42,42
66,0.74,74
67,-1.17,-117
68,-0.37,-37
69,0.04,4
70,0.5,50
71,-0.6,-60
72,-0.07,-7
73,0.55,55
74,-0.1,-10
75,-1.05,-105
76,-0.74,-74
77,0.7,70
78,0.41,41
79,-0.13,-13
80,0.32,32
81,-0.46,-46
82,-0.59,-59
83,0.03,3
84,0.16,16
85,-0.51,-51
86,-0.28,-28
87,0.43,43
88,0.01,1
89,0.25,25
90,-0.29,-29
91,-0.62,-62
92,0.21,21
93,0.19,19
94,0.02,2
95,-0.48,-48
96,0.94,94
97,0.48,48
98,0.24,24
99,0.18,18
100,0.59,59
101,0.47,47
102,0.89,89
103,-0.02,-2
104,0.38,38
105,0.16,16
106,0.44,44
107,-0.29,-29
108,-1.15,-115
109,-0.8,-80
110,-0.34,-34
111,0,0
112,-0.05,-5
113,0.26,26
114,-0.98,-98
115,0.59,59
116,-0.56,-56
117,-0.47,-47
118,0.56,56
119,0.55,55
120,-0.72,-72
121,0.91,91
122,0.62,62
123,-0.09,-9
124,-0.22,-22
125,-0.1,-10
126,0.4,40
127,-0.71,-71
128,-0.24,-24
129,-0.42,-42
130,-1.34,-134
131,-0.83,-83
132,-1.39,-139
133,1.01,101
134,0.49,49
135,-0.32,-32
136,-0.47,-47
137,0.76,76
138,0.51,51
139,0.94,94
140,-0.03,-3
141,0.19,19
142,-0.25,-25
143,0.15,15
144,0.52,52
145,-0.42,-42
146,1.19,119
147,0.46,46
148,-0.17,-17
149,-0.19,-19
150,0.45,45
151,0.14,14
152,-0.05,-5
153,-0.04,-4
154,0.48,48
155,1.04,104
156,0.18,18
157,0.67,67
158,2.07,207
159,0.81,81
160,0.4,40
161,-0.17,-17
162,0.33,33
163,0.13,13
164,-0.43,-43
165,0.1,10
166,1.23,123
167,1.29,129
168,-0.18,-18
169,0.16,16
170,-1.41,-141
171,0.5,50
172,0.44,44
173,0.43,43
174,1,100
175,0.57,57
176,-0.22,-22
177,0.05,5
178,-0.35,-35
179,-0.69,-69
180,0.66,66
181,0.24,24
182,-0.91,-91
183,0.15,15
184,0.34,34
185,0.13,13
186,1.14,114
187,0.93,93
188,-0.29,-29
189,-2.09,-209
190,-0.51,-51
191,0.75,75
192,-0.23,-23
193,-1.54,-154
194,1.01,101
195,-0.47,-47
196,1.8,180
197,-0.99,-99
198,0.95,95
199,-0.13,-13
200,0.72,72
201,-0.38,-38
202,0.72,72
203,0.01,1
204,-0.97,-97
205,0.3,30
206,-0.76,-76
207,0.59,59
208,0.45,45
209,0.32,32
210,0.59,59
211,0.37,37
212,0.34,34
213,-0.64,-64
214,0.74,74
215,-0.02,-2
216,-0.41,-41
217,0.34,34
218,-1.11,-111
219,0.14,14
220,1.62,162
221,0.18,18
222,0.12,12
223,-0.22,-22
224,0.53,53
225,0.09,9
226,-0.72,-72
227,0.01,1
228,-1.51,-151
229,0.68,68
230,-0.56,-56
231,0.15,15
232,-1.08,-108
233,0.1,10
234,0.79,79
235,0.39,39
236,-0.42,-42
237,0.54,54
238,0.92,92
239,0.61,61
240,-0.04,-4
241,-0.08,-8
242,0.36,36
243,0,0
244,0.68,68
245,-0.1,-10
246,0.49,49
247,-1.03,-103
